       10.000000    4.200000E-01
       10.200000    4.800000E-01
       10.400000    5.100000E-01
       10.600000    5.200000E-01
       10.800000    5.300000E-01
       11.000000    5.500000E-01
       11.200000    5.800000E-01
       11.400000    6.100000E-01
       11.600000    6.500000E-01
       11.800000    7.400000E-01
       11.890000    9.100000E-01
       11.960000        1.290000
       12.000000        1.520000
       12.040000        1.870000
       12.080000        2.350000
       12.120000        2.890000
       12.160000        3.400000
       12.200000        3.830000
       12.280000        4.270000
       12.360000        4.530000
       12.440000        4.620000
       12.500000        4.640000
       13.000000        4.640000
       14.000000        4.640000
